Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,0.180000,0.226500,0.180000,0.215800,0.215800,10207
2017-06-02,0.215800,0.248000,0.200800,0.210800,0.210800,41508
2017-06-03,0.210800,0.232000,0.200000,0.213900,0.213900,35140
2017-06-04,0.213900,0.278700,0.209700,0.230800,0.230800,36409
2017-06-05,0.230800,0.241900,0.198800,0.227900,0.227900,21403
2017-06-06,0.227900,0.239600,0.200000,0.216000,0.216000,12557
2017-06-07,0.216000,0.223400,0.187000,0.218800,0.218800,18371
2017-06-08,0.218800,0.227800,0.211500,0.216400,0.216400,31539
2017-06-09,0.216400,0.225000,0.186200,0.191800,0.191800,22978
2017-06-10,0.191800,0.224400,0.189000,0.216500,0.216500,19970
2017-06-11,0.216500,0.250000,0.155600,0.191300,0.191300,16672
2017-06-12,0.191300,0.209900,0.179400,0.203000,0.203000,15350
2017-06-13,0.203000,0.225000,0.178300,0.194400,0.194400,59285
2017-06-14,0.194400,0.203100,0.154800,0.186800,0.186800,58899
2017-06-15,0.186800,0.204000,0.174000,0.185800,0.185800,92350
2017-06-16,0.185800,0.203300,0.176100,0.200700,0.200700,62623
2017-06-17,0.200700,0.202300,0.179500,0.191500,0.191500,68387
2017-06-18,0.191500,0.200800,0.189000,0.198200,0.198200,99147
2017-06-19,0.198200,0.222400,0.193400,0.206000,0.206000,67567
2017-06-20,0.206000,0.213500,0.185000,0.190200,0.190200,48446
2017-06-21,0.190200,0.198100,0.186200,0.190300,0.190300,114548
2017-06-22,0.190300,0.195300,0.187200,0.192600,0.192600,72551
2017-06-23,0.192600,0.200500,0.168000,0.177300,0.177300,57092
2017-06-24,0.177300,0.184000,0.158000,0.168400,0.168400,41953
2017-06-25,0.168400,0.172500,0.133500,0.158000,0.158000,20857
2017-06-26,0.158000,0.165900,0.133100,0.161400,0.161400,41526
2017-06-27,0.161400,0.176200,0.152100,0.169200,0.169200,60037
2017-06-28,0.169200,0.175400,0.155400,0.158700,0.158700,124573
2017-06-29,0.158700,0.166500,0.155000,0.155900,0.155900,151903
2017-06-30,0.155900,0.158300,0.138000,0.141500,0.141500,112684
2017-07-01,0.141500,0.156800,0.139400,0.156100,0.156100,116519
2017-07-02,0.156100,0.178100,0.151600,0.173500,0.173500,120598
2017-07-03,0.173500,0.195000,0.162900,0.187000,0.187000,170093
2017-07-04,0.187000,0.187100,0.170000,0.173600,0.173600,159731
2017-07-05,0.173600,0.178100,0.162800,0.170400,0.170400,189602
2017-07-06,0.170400,0.172200,0.150600,0.156100,0.156100,143349
2017-07-07,0.156100,0.164800,0.146000,0.157800,0.157800,111085
